track_id,num_positions,first_frame,last_frame,duration
820,17,719,757,38
821,5,722,734,12
822,5,723,738,15
823,1,724,724,0
824,1,724,724,0
825,11,724,751,27
826,5,725,734,9
827,6,726,733,7
828,1,727,727,0
829,17,727,758,31
830,10,729,754,25
831,2,731,737,6
832,28,732,781,49
833,2,734,737,3
834,8,734,754,20
835,5,735,754,19
836,9,735,746,11
837,8,737,745,8
838,4,738,747,9
839,6,739,749,10
840,8,739,753,14
841,2,739,741,2
842,20,739,780,41
843,4,740,753,13
844,33,740,815,75
845,10,741,756,15
846,2,741,746,5
847,69,742,854,112
848,8,742,753,11
849,7,743,759,16
850,5,743,750,7
851,26,743,811,68
852,13,744,781,37
853,5,744,764,20
854,69,745,873,128
855,14,745,759,14
856,18,748,784,36
857,5,749,755,6
858,25,751,784,33
859,2,751,755,4
860,4,751,760,9
861,2,755,758,3
862,104,755,885,130
863,6,756,774,18
864,1,757,757,0
865,7,757,787,30
866,18,758,797,39
867,4,758,770,12
868,28,759,840,81
869,23,760,809,49
870,2,761,763,2
871,23,761,796,35
872,5,762,777,15
873,2,764,769,5
874,1,764,764,0
875,68,766,881,115
876,4,768,781,13
877,4,769,777,8
878,46,770,909,139
879,156,770,1010,240
880,26,771,803,32
881,11,771,799,28
882,11,771,799,28
883,48,772,836,64
884,111,772,987,215
885,54,773,901,128
886,2,774,778,4
887,71,774,857,83
888,1,775,775,0
889,1,775,775,0
890,1,776,776,0
891,4,776,782,6
892,5,777,796,19
893,22,777,812,35
894,1,778,778,0
895,1,778,778,0
896,4,778,785,7
897,2,782,785,3
898,101,782,920,138
899,44,783,874,91
900,12,783,799,16
901,43,783,843,60
902,9,784,806,22
903,6,784,805,21
904,3,785,794,9
905,28,785,816,31
906,27,786,866,80
907,2,786,790,4
908,53,786,857,71
909,2,787,795,8
910,25,787,826,39
911,123,787,1015,228
912,102,788,910,122
913,1,789,789,0
914,3,790,796,6
915,6,791,808,17
916,1,791,791,0
917,4,795,805,10
918,5,795,803,8
919,3,796,798,2
920,9,796,809,13
921,2,797,808,11
922,24,797,858,61
923,3,798,801,3
924,5,799,813,14
925,2,800,803,3
926,1,800,800,0
927,1,801,801,0
928,10,801,817,16
929,1,802,802,0
930,10,803,823,20
931,56,803,887,84
932,1,804,804,0
933,2,805,812,7
934,1,809,809,0
935,3,811,815,4
936,13,812,844,32
937,12,812,843,31
938,8,814,827,13
939,43,815,910,95
940,18,816,842,26
941,1,817,817,0
942,3,817,825,8
943,13,817,830,13
944,10,818,840,22
945,2,818,827,9
946,4,819,829,10
947,38,819,888,69
948,6,822,827,5
949,6,823,836,13
950,14,824,856,32
951,12,824,844,20
952,7,824,839,15
953,4,824,827,3
954,12,825,847,22
955,1,826,826,0
956,4,827,840,13
957,17,827,851,24
958,3,827,830,3
959,1,828,828,0
960,25,828,886,58
961,45,828,918,90
962,3,828,831,3
963,59,828,923,95
964,48,829,923,94
965,8,829,848,19
966,3,831,841,10
967,16,831,848,17
968,1,832,832,0
969,8,832,852,20
970,8,832,847,15
971,2,839,840,1
972,10,839,856,17
973,1,840,840,0
974,9,841,865,24
975,4,843,856,13
976,1,846,846,0
977,1,847,847,0
978,3,849,851,2
979,10,849,863,14
980,4,849,868,19
981,88,850,1006,156
982,2,851,852,1
983,43,851,893,42
984,1,852,852,0
985,2,853,863,10
986,6,853,865,12
987,4,854,858,4
988,11,854,876,22
989,34,855,902,47
990,38,858,925,67
991,9,859,881,22
992,5,862,872,10
993,1,863,863,0
994,17,864,903,39
995,3,864,880,16
996,3,864,869,5
997,30,864,898,34
998,6,865,885,20
999,6,865,872,7
1000,28,866,947,81
1001,4,867,872,5
1002,3,867,884,17
1003,8,868,886,18
1004,2,869,870,1
1005,9,870,904,34
1006,7,871,887,16
1007,45,872,968,96
1008,9,873,893,20
1009,24,873,925,52
1010,33,873,929,56
1011,5,875,880,5
1012,42,875,991,116
1013,21,875,923,48
1014,67,876,963,87
1015,2,877,881,4
1016,10,879,904,25
1017,50,879,1009,130
1018,5,881,889,8
1019,3,885,898,13
1020,10,885,916,31
1021,13,886,907,21
1022,8,887,905,18
1023,12,888,905,17
1024,14,890,930,40
1025,7,891,907,16
1026,4,894,897,3
1027,44,894,1001,107
1028,9,894,910,16
1029,3,898,900,2
1030,2,899,903,4
1031,19,899,930,31
1032,2,900,905,5
1033,22,901,937,36
1034,8,902,912,10
1035,5,902,917,15
1036,2,903,904,1
1037,6,907,925,18
1038,3,908,911,3
1039,87,908,1044,136
1040,38,909,972,63
1041,8,910,918,8
1042,2,910,915,5
1043,17,910,927,17
1044,98,910,1029,119
1045,3,911,917,6
1046,6,911,916,5
1047,1,913,913,0
1048,12,913,935,22
1049,30,917,961,44
1050,1,918,918,0
1051,6,918,929,11
1052,1,918,918,0
1053,8,919,928,9
1054,68,920,989,69
1055,7,921,933,12
